species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__GGB25206_SGB37138,1.4587567142311302e-16,25.09445765026599,2.218352099679627e-14,70.04720197140992,6.923351440541358,187,0.3554734817085382,1.1958598997982673e-15,True,4.200230117667517e-14,True,15.836017132011307,14.922319696859732,1.0882325088164231e-13,True
s__GGB24172_SGB35979,1.6872777118210685e-16,24.979423040617867,1.697821767948768e-21,103.5825739888348,4.856186084341022,187,0.3544215029430934,1.3681621445853447e-15,True,2.8570956950950003e-20,True,15.772813430282651,14.863862430155539,1.258709173018517e-13,True
s__GGB25206_SGB41973,2.0049207271687406e-16,24.843310536755652,2.218352099679627e-14,70.04720197140992,6.821804524098942,187,0.3531723250894564,1.6082482392127748e-15,True,4.200230117667517e-14,True,15.697902794332474,14.79364691541374,1.4956708624678805e-13,True
s__Limnohabitans_sp_103DPR2,2.1170351232633294e-16,24.800424864278185,6.171974697553311e-24,115.02248461782712,8.755682451582851,187,0.3527777380031175,1.6801151084621741e-15,True,1.53476437479159e-21,True,15.674271936636746,14.774660962763775,1.5793082019544438e-13,True
s__GGB29233_SGB41982,2.1621968274341605e-16,24.783794795709184,2.218352099679627e-14,70.04720197140992,6.297041330154935,187,0.3526245967188759,1.6978935087009301e-15,True,4.200230117667517e-14,True,15.66510477422281,14.77008955203899,1.6129988332658837e-13,True
s__GGB54260_SGB75478,2.372194193373841e-16,24.71081250138655,1.0344172637784313e-11,57.37049601452825,5.798087976569979,187,0.35195166700141156,1.843392571100922e-15,True,1.6143834284073424e-11,True,15.624849761488816,14.734382167055715,1.7696568682568853e-13,True
s__GGB25251_SGB37187,2.5626497628479866e-16,24.650060954580056,2.218352099679627e-14,70.04720197140992,6.481208085652488,187,0.35139044241943274,1.9708626011181423e-15,True,4.200230117667517e-14,True,15.591310744754564,14.70534365154814,1.9117367230845981e-13,True
s__GGB28494_SGB41084,2.6445251102032027e-16,24.62533469835387,2.1272377280864824e-14,70.13347612477308,6.534385243829769,187,0.3511617421047678,2.0130772777669277e-15,True,4.176103539875042e-14,True,15.5776523049275,14.696139553147328,1.9728157322115892e-13,True
s__GGB27181_SGB39400,2.6787313663341355e-16,24.61523277860203,2.1272377280864824e-14,70.13347612477308,6.40618787875332,187,0.3510682601072983,2.0185187871568334e-15,True,4.176103539875042e-14,True,15.572070836958574,14.694967204083454,1.998333599285265e-13,True
s__GGB30069_SGB42979,3.252985622975295e-16,24.46272911905017,2.218352099679627e-14,70.04720197140992,6.462861094561273,187,0.349653728879327,2.42672727473957e-15,True,4.200230117667517e-14,True,15.48771785613908,14.61497902866641,2.4267272747395703e-13,True
s__GGB28528_SGB41128,3.298111618171503e-16,24.451923841713253,2.218352099679627e-14,70.04720197140992,6.425782247265593,187,0.349553271716199,2.4360309575801397e-15,True,4.200230117667517e-14,True,15.48173465059093,14.613317196900903,2.4603912671559413e-13,True
s__beta_proteobacterium_CB,3.5236738822989895e-16,24.400060619609732,5.982368907588511e-14,68.00560562529598,12.79281945434678,187,0.3490706646506764,2.5771183492108293e-15,True,1.0805925435983122e-13,True,15.453004292561866,14.588865636851114,2.628660716195046e-13,True
s__Brachymonas_denitrificans,3.79851256230413e-16,24.34122374667378,8.683706656461944e-14,67.2382996445478,5.418098137031842,187,0.34852229730343276,2.7424626303005678e-15,True,1.560974738727858e-13,True,15.420386432974231,14.56185928155264,2.833690371478881e-13,True
s__GGB29038_SGB41759,3.8232722996147326e-16,24.33613615841879,2.218352099679627e-14,70.04720197140992,6.770073148925537,187,0.34847483691270986,2.7424626303005678e-15,True,4.200230117667517e-14,True,15.41756476972653,14.56185928155264,2.8521611355125906e-13,True
